country,target_date,specification_id,specification_order,p,d,q,P,D,Q,seasonal_period,trend,forecast_origin_local,forecast_origin_utc,information_cutoff_utc,expected_observations,analysis_label
Germany,2024-02-17,sarima_p1_d0_q1_P1_D1_Q0_s24,9,1,0,1,1,1,0,24,n,2024-02-16T18:00:00+01:00,2024-02-16T17:00:00+00:00,2024-02-16T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-02-17,sarima_p2_d0_q0_P1_D1_Q0_s24,10,2,0,0,1,1,0,24,n,2024-02-16T18:00:00+01:00,2024-02-16T17:00:00+00:00,2024-02-16T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-02-17,sarima_p2_d0_q1_P1_D1_Q0_s24,11,2,0,1,1,1,0,24,n,2024-02-16T18:00:00+01:00,2024-02-16T17:00:00+00:00,2024-02-16T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-02-17,sarima_p1_d0_q1_P0_D1_Q1_s24,12,1,0,1,0,1,1,24,n,2024-02-16T18:00:00+01:00,2024-02-16T17:00:00+00:00,2024-02-16T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p1_d0_q0_P0_D1_Q0_s24,1,1,0,0,0,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p3_d0_q0_P0_D1_Q0_s24,3,3,0,0,0,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p2_d0_q1_P0_D1_Q0_s24,5,2,0,1,0,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p1_d0_q2_P0_D1_Q0_s24,6,1,0,2,0,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p2_d0_q2_P0_D1_Q0_s24,7,2,0,2,0,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p1_d0_q0_P1_D1_Q0_s24,8,1,0,0,1,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p1_d0_q1_P1_D1_Q0_s24,9,1,0,1,1,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p2_d0_q0_P1_D1_Q0_s24,10,2,0,0,1,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p2_d0_q1_P1_D1_Q0_s24,11,2,0,1,1,1,0,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-10,sarima_p1_d0_q1_P0_D1_Q1_s24,12,1,0,1,0,1,1,24,n,2024-03-09T18:00:00+01:00,2024-03-09T17:00:00+00:00,2024-03-09T17:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p1_d0_q0_P0_D1_Q0_s24,1,1,0,0,0,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p3_d0_q0_P0_D1_Q0_s24,3,3,0,0,0,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p2_d0_q1_P0_D1_Q0_s24,5,2,0,1,0,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p1_d0_q2_P0_D1_Q0_s24,6,1,0,2,0,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p2_d0_q2_P0_D1_Q0_s24,7,2,0,2,0,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p1_d0_q0_P1_D1_Q0_s24,8,1,0,0,1,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p1_d0_q1_P1_D1_Q0_s24,9,1,0,1,1,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p2_d0_q0_P1_D1_Q0_s24,10,2,0,0,1,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p2_d0_q1_P1_D1_Q0_s24,11,2,0,1,1,1,0,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-03-31,sarima_p1_d0_q1_P0_D1_Q1_s24,12,1,0,1,0,1,1,24,n,2024-03-30T18:00:00+01:00,2024-03-30T17:00:00+00:00,2024-03-30T17:00:00+00:00,23,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,1,0,0,0,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p3_d0_q0_P0_D1_Q0_s24,3,3,0,0,0,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p2_d0_q1_P0_D1_Q0_s24,5,2,0,1,0,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p1_d0_q2_P0_D1_Q0_s24,6,1,0,2,0,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p2_d0_q2_P0_D1_Q0_s24,7,2,0,2,0,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p1_d0_q0_P1_D1_Q0_s24,8,1,0,0,1,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p1_d0_q1_P1_D1_Q0_s24,9,1,0,1,1,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p2_d0_q0_P1_D1_Q0_s24,10,2,0,0,1,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p2_d0_q1_P1_D1_Q0_s24,11,2,0,1,1,1,0,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-04-15,sarima_p1_d0_q1_P0_D1_Q1_s24,12,1,0,1,0,1,1,24,n,2024-04-14T18:00:00+02:00,2024-04-14T16:00:00+00:00,2024-04-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p1_d0_q0_P0_D1_Q0_s24,1,1,0,0,0,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p3_d0_q0_P0_D1_Q0_s24,3,3,0,0,0,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p2_d0_q1_P0_D1_Q0_s24,5,2,0,1,0,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p1_d0_q2_P0_D1_Q0_s24,6,1,0,2,0,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p2_d0_q2_P0_D1_Q0_s24,7,2,0,2,0,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p1_d0_q0_P1_D1_Q0_s24,8,1,0,0,1,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p1_d0_q1_P1_D1_Q0_s24,9,1,0,1,1,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p2_d0_q0_P1_D1_Q0_s24,10,2,0,0,1,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p2_d0_q1_P1_D1_Q0_s24,11,2,0,1,1,1,0,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-05-18,sarima_p1_d0_q1_P0_D1_Q1_s24,12,1,0,1,0,1,1,24,n,2024-05-17T18:00:00+02:00,2024-05-17T16:00:00+00:00,2024-05-17T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,1,0,0,0,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p3_d0_q0_P0_D1_Q0_s24,3,3,0,0,0,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p2_d0_q1_P0_D1_Q0_s24,5,2,0,1,0,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p1_d0_q2_P0_D1_Q0_s24,6,1,0,2,0,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p2_d0_q2_P0_D1_Q0_s24,7,2,0,2,0,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p1_d0_q0_P1_D1_Q0_s24,8,1,0,0,1,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p1_d0_q1_P1_D1_Q0_s24,9,1,0,1,1,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p2_d0_q0_P1_D1_Q0_s24,10,2,0,0,1,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p2_d0_q1_P1_D1_Q0_s24,11,2,0,1,1,1,0,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-06-15,sarima_p1_d0_q1_P0_D1_Q1_s24,12,1,0,1,0,1,1,24,n,2024-06-14T18:00:00+02:00,2024-06-14T16:00:00+00:00,2024-06-14T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p1_d0_q0_P0_D1_Q0_s24,1,1,0,0,0,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p3_d0_q0_P0_D1_Q0_s24,3,3,0,0,0,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p2_d0_q1_P0_D1_Q0_s24,5,2,0,1,0,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p1_d0_q2_P0_D1_Q0_s24,6,1,0,2,0,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p2_d0_q2_P0_D1_Q0_s24,7,2,0,2,0,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p1_d0_q0_P1_D1_Q0_s24,8,1,0,0,1,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p1_d0_q1_P1_D1_Q0_s24,9,1,0,1,1,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p2_d0_q0_P1_D1_Q0_s24,10,2,0,0,1,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p2_d0_q1_P1_D1_Q0_s24,11,2,0,1,1,1,0,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-07-14,sarima_p1_d0_q1_P0_D1_Q1_s24,12,1,0,1,0,1,1,24,n,2024-07-13T18:00:00+02:00,2024-07-13T16:00:00+00:00,2024-07-13T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p1_d0_q0_P0_D1_Q0_s24,1,1,0,0,0,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p3_d0_q0_P0_D1_Q0_s24,3,3,0,0,0,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p2_d0_q1_P0_D1_Q0_s24,5,2,0,1,0,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p1_d0_q2_P0_D1_Q0_s24,6,1,0,2,0,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p2_d0_q2_P0_D1_Q0_s24,7,2,0,2,0,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p1_d0_q0_P1_D1_Q0_s24,8,1,0,0,1,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p1_d0_q1_P1_D1_Q0_s24,9,1,0,1,1,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
Germany,2024-08-12,sarima_p2_d0_q0_P1_D1_Q0_s24,10,2,0,0,1,1,0,24,n,2024-08-11T18:00:00+02:00,2024-08-11T16:00:00+00:00,2024-08-11T16:00:00+00:00,24,enhanced/post-hoc SARIMA robustness analysis
